1.29289322	2.70710678	-5.48528137
1.29289322	2.70710678	3.00000000
-0.207106781	1.20710678	2.29289322
6.00000000	6.00000000	4.41421356
-2.00000000	-2.00000000	1.58578644
3.29289322	4.70710678	1.58578644
6.00000000	6.00000000	1.58578644
8.00000000	8.00000000	4.41421356
2.00000000	2.00000000	-1.24264069
4.00000000	4.00000000	3.00000000
-2.50000000	-2.50000000	-0.535533906
0.792893219	2.20710678	-1.94974747
3.50000000	3.50000000	-0.535533906
4.50000000	4.50000000	3.70710678
1.00000000	1.00000000	3.00000000
-1.50000000	-1.50000000	0.878679656
6.29289322	7.70710678	3.00000000
4.00000000	4.00000000	1.58578644
-1.70710678	-0.292893219	1.58578644
-1.70710678	-0.292893219	-2.65685425
-2.20710678	-0.792893219	0.878679656
-2.50000000	-2.50000000	0.878679656
1.79289322	3.20710678	2.29289322
3.50000000	3.50000000	2.29289322
0	0	4.41421356
